,Artist,Rating,Song,Year
47,Stevie Wonder,48,If You Really Love Me,1971
48,Aretha Franklin,49,Spanish Harlem,1971
49,Helen Reddy,50,I Don’t Know How To Love Him,1971
50,Osmonds,51,Yo-yo,1971
51,Aretha Franklin,52,Bridge Over Troubled Water,1971
52,Partridge Family,53,Doesn’t Somebody Want To Be Wanted,1971
53,Tommy James,54,Draggin’ The Line,1971
54,Ike and Tina Turner,55,Proud Mary,1971
55,Chicago,56,Beginnings / Color My World,1971
56,Bells,57,Stay Awhile,1971
57,Stampeders,58,Sweet City Woman,1971
58,Lobo,59,Me And You And A Dog Named Boo,1971
59,Paul McCartney,60,"Another Day / Oh Woman, Oh Why",1971
60,Bread,61,If,1971
61,Marvin Gaye,62,Mercy Mercy Me (The Ecology),1971
62,Brewer and Shipley,63,One Toke Over The Line,1971
63,8th Day,64,She’s Not Just Another Woman,1971
64,Freda Payne,65,Bring The Boys Home,1971
65,Rare Earth,66,I Just Want To Celebrate,1971
66,Delaney and Bonnie and Friends,67,Never Ending Song Of Love,1971
67,Freddy Hart,68,Easy Loving,1971
68,Three Dog Night,69,Liar,1971
69,Honey Cone,70,Stick-up,1971
70,Mac and Katie Kissoon,71,Chirpy Chirpy Cheep Cheep,1971
71,Andy Williams,72,Love Story (Where Do I Begin),1971
72,Cat Stevens,73,Wild World,1971
73,Jerry Reed,74,"When You’re Hot, You’re Hot",1971
74,Beginning Of The End,75,Funky Nassau,1971
75,Olivia Newton-John,76,If Not For You,1971
76,King Floyd,77,Groove Me,1971
77,Bobby Goldsboro,78,Watching Scotty Grow,1971
78,Matthews’ Southern Comfort,79,Woodstock,1971
79,Judy Collins,80,Amazing Grace,1971
80,Dave Edmunds,81,I Hear You Knocking,1971
81,Bee Gees,82,Lonely Days,1971
82,Fortunes,83,Here Comes That Rainy Day Feeling Again,1971
83,Who,84,Won’t Get Fooled Again,1971
84,Denise Lasalle,85,Trapped By A Thing Called Love,1971
85,Jackson 5,86,Mama’s Pearl,1971
86,Buoys,87,Timothy,1971
87,Partridge Family,88,I Woke Up In Love This Morning,1971
88,Isaac Hayes,89,Theme From “Shaft”,1971
89,Gladys Knight and The Pips,90,If I Were Your Woman,1971
90,Neil Diamond,91,I Am..I Said,1971
91,Paul Stookey,92,Wedding Song (There Is Love),1971
92,Wilson Pickett,93,"Don’t Knock My Love, Pt. 1",1971
93,Doors,94,Love Her Madly,1971
94,Richie Havens,95,Here Comes The Sun,1971
95,Wadsworth Mansion,96,Sweet Mary,1971
96,Brenda and The Tabulations,97,Right On The Tip Of My Tongue,1971
97,Fifth Dimension,98,One Less Bell To Answer,1971
98,Doors,99,Riders On The Storm,1971
99,Perry Como,100,It’s Impossible,1971
0,Roberta Flack,1,The First Time Ever I Saw Your Face,1972
1,Gilbert O’Sullivan,2,Alone Again (Naturally),1972
2,Don McLean,3,American Pie,1972
3,Nilsson,4,Without You,1972
4,Sammy Davis Jr.,5,Candy Man,1972
5,Joe Tex,6,I Gotcha,1972
6,Bill Withers,7,Lean On Me,1972
7,Mac Davis,8,Baby Don’t Get Hooked On Me,1972
8,Melanie,9,Brand New Key,1972
9,Wayne Newton,10,Daddy Dont You Walk So Fast,1972
10,Al Green,11,Let’s Stay Together,1972
11,Looking Glass,12,Brandy (You’re A Fine Girl),1972
12,Chi-Lites,13,Oh Girl,1972
13,Gallery,14,Nice To Be With You,1972
14,Chuck Berry,15,My Ding-A-Ling,1972
15,Luther Ingram,16,If Loving You Is Wrong I Don’t Want To Be Right,1972
16,Neil Young,17,Heart Of Gold,1972
17,Stylistics,18,"Betcha By Golly, Wow",1972
18,Staple Singers,19,I’ll Take You There,1972
19,Michael Jackson,20,Ben,1972
20,Robert John,21,The Lion Sleeps Tonight,1972
21,Billy Preston,22,Outa-space,1972
22,War,23,Slippin’ Into Darkness,1972
23,Hollies,24,Long Cool Woman (In A Black Dress),1972
24,Mouth and MacNeal,25,How Do You Do,1972
25,Neil Diamond,26,Song Sung Blue,1972
26,America,27,A Horse With No Name,1972
27,Hot Butter,28,Popcorn,1972
28,Main Ingredient,29,Everybody Plays The Fool,1972
29,Climax,30,Precious And Few,1972
30,5th Dimension,31,Last Night I Didn’t Get To Sleep At All,1972
31,Moody Blues,32,Nights In White Satin,1972
32,Raspberries,33,Go All The Way,1972
33,Cornelius Brothers and Sister Rose,34,Too Late To Turn Back Now,1972
34,O’Jays,35,Back Stabbers,1972
35,Osmonds,36,Down By The Lazy River,1972
36,Jonathan Edwards,37,Sunshine,1972
37,Mel and Tim,38,Starting All Over Again,1972
38,Badfinger,39,Day Atter Day,1972
39,Elton John,40,Rocket Man,1972
40,Michael Jackson,41,Rockin’ Robin,1972
41,Daniel Boone,42,Beautiful Sunday,1972
42,Dennis Coffey and The Detroit Guitar Band,43,Scorpio,1972
43,Cat Stevens,44,Morning Has Broken,1972
44,Arlo Guthrie,45,The City Of New Orleans,1972
45,Rick Nelson,46,Garden Party,1972
46,Johnny Nash,47,I Can See Clearly Now,1972
47,Elvis Presley,48,Burning Love,1972
48,Betty Wright,49,Clean Up Woman,1972
49,Argent,50,Hold Your Head Up,1972
50,Chakachas,51,Jungle Fever,1972
51,Bread,52,Everything I Own,1972
52,Dramatics,53,In The Rain,1972
53,Al Green,54,Look What You Done For Me,1972
54,Donna Fargo,55,The Happiest Girl In The Whole U.S.A.,1972
55,T. Rex,56,Bang A Gong (Get It On),1972
56,Paul Simon,57,Mother And Child Reunion,1972
57,Roberta Flack and Donny Hathaway,58,Where Is The Love,1972
58,Al Green,59,I’m Still In Love With You,1972
59,Derek and The Dominos,60,Layla,1972
60,Aretha Franklin,61,Day Dreaming,1972
61,Cher,62,The Way Of Love,1972
62,Three Dog Night,63,Black And White,1972
63,Dr. Hook and The Medicine Show,64,Sylvia’s Mother,1972
64,Carpenters,65,Hurting Each Other,1972
65,Nilsson,66,Coconut,1972
66,Donny Osmond,67,Puppy Love,1972
67,Jim Croce,68,You Don’t Mess Around With Jim,1972
68,Commander Cody and His Lost Planet Airmen,69,Hot Rod Lincoln,1972
69,Sonny and Cher,70,A Cowboy’s Work Is Never Done,1972
70,Apollo 100,71,Joy,1972
71,Carly Simon,72,Anticipation,1972
72,Three Dog Night,73,Never Been To Spain,1972
73,Charlie Pride,74,Kiss An Angel Good Morning,1972
74,Alice Cooper,75,School’s Out,1972
75,Chicago,76,Saturday In The Park,1972
76,Joe Simon,77,Drowning In The Sea Of Love,1972
77,Bill Withers,78,Use Me,1972
78,Sly and The Family Stone,79,Family Affair,1972
79,Jimmy Castor Bunch,80,Troglodyte,1972
80,Redbone,81,The Witch Queen Of New Orleans,1972
81,Curtis Mayfield,82,Freddie’s Dead,1972
82,Joe Simon,83,Power Of Love,1972
83,Jerry Butler and Brenda Lee Eager,84,Ain’t Understanding Mellow,1972
84,Harry Chapin,85,Taxi,1972
85,Beverly Bremers,86,Don’t Say You Don’t Rememeer,1972
86,Bobby Vinton,87,Sealed With A Kiss,1972
87,Todd Rundgren,88,I Saw The Light,1972
88,Sailcat,89,Motorcycle Mama,1972
89,Godspell,90,Day By Day,1972
90,Yes,91,Roundabout,1972
91,Jackson Browne,92,Doctor My Eyes,1972
92,New Seekers,93,I’d Like To Teach The World To Sing,1972
93,Don Mclean,94,Vincent / Castles In The Air,1972
94,Detroit Emeralds,95,Baby Let Me Take You (In My Arms),1972
95,Rick Springfield,96,Speak To The Sky,1972
96,Hillside Singers,97,I’d Like To Teach The World To Sing,1972
97,Love Unlimited,98,Walking In The Rain With The One I Love,1972
98,James Brown,99,"Good Foot, Pt. 1",1972
99,Isley Bros.,100,Pop That Thang,1972
0,Tony Orlando and Dawn,1,Tie A Yellow Ribbon ‘Round The Ole Oak Tree,1973
1,Jim Croce,2,Bad Bad Leroy Brown,1973
2,Roberta Flack,3,Killing Me Softly With His Song,1973
3,Marvin Gaye,4,Let’s Get It On,1973
4,Paul McCartney and Wings,5,My Love,1973
5,Kris Kristofferson,6,Why Me,1973
6,Elton John,7,Crocodile Rock,1973
7,Billy Preston,8,Will It Go Round In Circles,1973
8,Carly Simon,9,You’re So Vain,1973
9,Diana Ross,10,Touch Me In The Morning,1973
10,Vicki Lawrence,11,The Night The Lights Went Out In Georgia,1973
11,Clint Holmes,12,Playground In My Mind,1973
12,Stories,13,Brother Louie,1973
13,Helen Reddy,14,Delta Dawn,1973
14,Billy Paul,15,Me And Mrs. Jones,1973
15,Edgar Winter Group,16,Frankenstein,1973
16,Dobie Gray,17,Drift Away,1973
17,Sweet,18,Little Willy,1973
18,Stevie Wonder,19,You Are The Sunshine Of My Life,1973
19,Cher,20,Half Breed,1973
20,Isley Bros.,21,That Lady,1973
21,Sylvia,22,Pillow Talk,1973
22,Grand Funk Railroad,23,We’re An American Band,1973
23,Dr. John,24,"Right Place, Wrong Time",1973
24,Skylark,25,Wildflower,1973
25,Stevie Wonder,26,Superstition,1973
26,Paul Simon,27,Loves Me Like A Rock,1973
27,Maureen McGovern,28,The Morning After,1973
28,John Denver,29,Rocky Mountain High,1973
29,Stealers Wheel,30,Stuck In The Middle With You,1973
30,Three Dog Night,31,Shambala,1973
31,O’Jays,32,Love Train,1973
32,Barry White,33,I’m Gonna Love You Just A Little More,1973
33,Tony Orlando and Dawn,34,"Say, Has Anybody Seen My Sweet Gypsy Rose",1973
34,Eddie Kendricks,35,Keep On Truckin’ (Pt. 1),1973
35,King Harvest,36,Dancing In The Moonlight,1973
36,Anne Murray,37,Danny’s Song,1973
37,Bobby “Boris” Pickett and The Crypt Kickers,38,Monster Mash,1973
38,Bloodstone,39,Natural High,1973
39,Seals and Crofts,40,Diamond Girl,1973
40,Doobie Brothers,41,Long Train Running,1973
41,George Harrison,42,Give Me Love (Give Me Peace On Earth),1973
42,Sly and The Family Stone,43,If You Want Me To Stay,1973
43,Jermaine Jackson,44,Daddy’s Home,1973
44,Gladys Knight and The Pips,45,Neither One Of Us (Wants To Be The First To Say Goodbye),1973
45,New York City,46,I’m Doing Fine Now,1973
46,Spinners,47,Could It Be I’m Falling In Love,1973
47,Elton John,48,Daniel,1973
48,Gladys Knight and The Pips,49,Midnight Train To Georgia,1973
49,Deep Purple,50,Smoke On The Water,1973
50,Dr. Hook and The Medicine Show,51,The Cover Of Rolling Stone,1973
51,Charlie Rich,52,Behind Closed Doors,1973
52,Loggins and Messina,53,Your Mama Don’t Dance,1973
53,Chicago,54,Feelin’ Stronger Every Day,1973
54,War,55,The Cisco Kid,1973
55,Wings,56,Live And Let Die,1973
56,Hurricane Smith,57,"Oh, Babe, What Would You Say?",1973
57,Johnnie Taylor,58,I Believe In You,1973
58,Carpenters,59,Sing,1973
59,Four Tops,60,Ain’t No Woman (Like The One I Got),1973
60,Eric Weissberg and Steve Mandel,61,Dueling Banjos,1973
61,Stevie Wonder,62,Higher Ground,1973
62,Al Green,63,Here I Am (Come And Take Me),1973
63,B.W. Stevenson,64,My Maria,1973
64,Curtis Mayfield,65,Superfly,1973
65,Gilbert O’Sullivan,66,Get Down,1973
66,Edward Bear,67,Last Song,1973
67,Steely Dan,68,Reelin’ In The Years,1973
68,Focus,69,Hocus Pocus,1973
69,Carpenters,70,Yesterday Once More,1973
70,Bette Midler,71,Boogie Woogie Bugle Boy,1973
71,Gilbert O’Sullivan,72,Clair,1973
72,Steely Dan,73,Do It Again,1973
73,Paul Simon,74,Kodachrome,1973
74,Timmy Thomas,75,Why Can’t We Live Together,1973
75,Tower Of Power,76,So Very Hard To Go,1973
76,Bette Midler,77,Do You Want To Dance?,1973
77,Johnny Rivers,78,Rockin’ Pneumonia And The Boogie Woogie Flu,1973
78,Allman Brothers,79,Ramblin’ Man,1973
79,Temptations,80,Masterpiece,1973
80,Helen Reddy,81,Peaceful,1973
81,Spinners,82,One Of A Kind (Love Affair),1973
82,Donna Fargo,83,Funny Face,1973
83,Ohio Players,84,Funky Worm,1973
84,Rolling Stones,85,Angie,1973
85,Blue Ridge Rangers,86,Jambalaya (On The Bayou),1973
86,Lobo,87,Don’t Expect Me To Be Your Friend,1973
87,Stylistics,88,Break Up To Make Up,1973
88,Jud Strunk,89,Daisy A Day,1973
89,Deodato,90,Also Sprach Zarathustra (2001),1973
90,Johnny Nash,91,Stir It Up,1973
91,Pink Floyd,92,Money,1973
92,War,93,Gypsy Man,1973
93,War,94,The World Is A Ghetto,1973
94,Pointer Sisters,95,Yes We Can Can,1973
95,Edgar Winter Group,96,Free Ride,1973
96,David Bowie,97,Space Oddity,1973
97,Albert Hammond,98,It Never Rains In Southern California,1973
98,Donny Osmond,99,The Twelfth Of Never,1973
99,Temptations,100,Papa Was A Rolling Stone,1973
0,Barbra Streisand,1,The Way We Were,1974
1,Terry Jacks,2,Seasons In The Sun,1974
2,Love Unlimited Orchestra,3,Love’s Theme,1974
3,Redbone,4,Come And Get Your Love,1974
4,Jackson 5,5,Dancing Machine,1974
5,Grand Funk Railroad,6,The Loco-Motion,1974
6,MFSB,7,TSOP,1974
7,Ray Stevens,8,The Streak,1974
8,Elton John,9,Bennie And The Jets,1974
9,Mac Davis,10,One Hell Of A Woman,1974
10,Aretha Franklin,11,Until You Come Back To Me (That’s What I’m Gonna Do),1974
11,Kool and The Gang,12,Jungle Boogie,1974
12,Maria Muldaur,13,Midnight At The Oasis,1974
13,Stylistics,14,You Make Me Feel Brand New,1974
14,Al Wilson,15,Show And Tell,1974
15,Jim Stafford,16,Spiders And Snakes,1974
16,David Essex,17,Rock On,1974
17,John Denver,18,Sunshine On My Shoulder,1974
18,Blue Magic,19,Sideshow,1974
19,Blue Swede,20,Hooked On A Feeling,1974
20,Bo Donaldson and The Heywoods,21,Billy Don’t Be A Hero,1974
21,Paul McCartney and Wings,22,Band On The Run,1974
22,Charlie Rich,23,The Most Beautiful Girl,1974
23,Jim Croce,24,Time In A Bottle,1974
24,John Denver,25,Annie’s Song,1974
25,Olivia Newton-John,26,Let Me Be There,1974
26,Gordon Lightfoot,27,Sundown,1974
27,Paul Anka,28,(You’re) Having My Baby,1974
28,Andy Kim,29,Rock Me Gently,1974
29,Eddie Kendricks,30,Boogie Down,1974
30,Ringo Starr,31,You’re Sixteen,1974
31,Olivia Newton-John,32,If You Love Me (Let Me Know),1974
32,Cher,33,Dark Lady,1974
33,Gladys Knight and The Pips,34,Best Thing That Ever Happened To Me,1974
34,Roberta Flack,35,Feel Like Makin’ Love,1974
35,Main Ingredient,36,Just Don’t Want To Be Lonely,1974
36,Billy Preston,37,Nothing From Nothing,1974
37,George McCrae,38,Rock Your Baby,1974
38,Carpenters,39,Top Of The World,1974
39,Steve Miller Band,40,The Joker,1974
40,Gladys Knight and The Pips,41,I’ve Got To Use My Imagination,1974
41,Three Dog Night,42,The Show Must Go On,1974
42,Hues Corporation,43,Rock The Boat,1974
43,Brownsville Station,44,Smokin’ In The Boy’s Room,1974
44,Stevie Wonder,45,Living For The City,1974
45,Paper Lace,46,The Night Chicago Died,1974
46,Dionne Warwick and The Spinners,47,Then Came You,1974
47,Marvin Hamlisch,48,The Entertainer,1974
48,ABBA,49,Waterloo,1974
49,Hollies,50,The Air That I Breathe,1974
50,Steely Dan,51,Rikki Don’t Lose That Number,1974
51,Carly Simon,52,Mockingbird,1974
52,Joni Mitchell,53,Help Me,1974
53,Anne Murray,54,You Won’t See Me,1974
54,Barry White,55,"Never, Never Gonna Give You Up",1974
55,Rufus,56,Tell Me Something Good,1974
56,Helen Reddy,57,You And Me Against The World,1974
57,Righteous Brothers,58,Rock And Roll Heaven,1974
58,Kool and The Gang,59,Hollywood Swinging,1974
59,William Devaughn,60,Be Thankful For What You Got,1974
60,Johnny Bristol,61,Hang On In There Baby,1974
61,Mocedades,62,Eres Tú (Touch The Wind),1974
62,Bachman-Turner Overdrive,63,Takin’ Care Of Business,1974
63,Golden Earring,64,Radar Love,1974
64,Dave Loggins,65,Please Come To Boston,1974
65,Wet Willie,66,Keep On Smilin’,1974
66,Bobby Womack,67,Lookin’ For A Love,1974
67,O’Jays,68,Put Your Hands Together,1974
68,Gladys Knight and The Pips,69,On And On,1974
69,Cat Stevens,70,Oh Very Young,1974
70,Helen Reddy,71,Leave Me Alone (Ruby Red Dress),1974
71,Elton John,72,Goodbye Yellow Brick Road,1974
72,Chicago,73,I’ve Been Searchin’ So Long,1974
73,Ringo Starr,74,Oh My My,1974
74,O’Jays,75,For The Love Of Money,1974
75,Eric Clapton,76,I Shot The Sheriff,1974
76,Paul McCartney and Wings,77,Jet,1974
77,Elton John,78,Don’t Let The Sun Go Down On Me,1974
78,Mike Oldfield,79,Tubular Bells,1974
79,Anne Murray,80,A Love Song,1974
80,Donny and Marie Osmond,81,I’m Leaving It All Up To You,1974
81,Todd Rundgren,82,"Hello, It’s Me",1974
82,Tom T. Hall,83,I Love,1974
83,Guess Who,84,Clap For The Wolfman,1974
84,Jim Croce,85,I’ll Have To Say I Love You In A Song,1974
85,Sister Janet Mead,86,The Lord’s Prayer,1974
86,Lamont Dozier,87,Trying To Hold On To My Woman,1974
87,Stevie Wonder,88,Don’t You Worry ‘Bout A Thing,1974
88,Charlie Rich,89,A Very Special Love Song,1974
89,Jim Stafford,90,My Girl Bill,1974
90,Diana Ross and Marvin Gaye,91,My Mistake Was To Love You,1974
91,Paul McCartney and Wings,92,Helen Wheels,1974
92,Jim Stafford,93,Wildwood Weed,1974
93,First Class,94,Beach Baby,1974
94,War,95,Me And Baby Brother,1974
95,Stylistics,96,Rockin’ Roll Baby,1974
96,Olivia Newton-John,97,I Honestly Love You,1974
97,Chicago,98,Call On Me,1974
98,Fancy,99,Wild Thing,1974
99,Spinners,100,"Mighty Love, Pt. 1",1974
0,Captain and Tennille,1,Love Will Keep Us Together,1975
1,Glen Campbell,2,Rhinestone Cowboy,1975
2,Elton John,3,Philadelphia Freedom,1975
3,Freddy Fender,4,Before The Next Teardrop Falls,1975
4,Frankie Valli,5,My Eyes Adored You,1975
5,"Earth, Wind and Fire",6,Shining Star,1975
6,David Bowie,7,Fame,1975
7,Neil Sedaka,8,Laughter In The Rain,1975
8,Eagles,9,One Of These Nights,1975
9,John Denver,10,Thank God I’m A Country Boy,1975
10,Bee Gees,11,Jive Talkin’,1975
11,Eagles,12,Best Of My Love,1975
12,Minnie Riperton,13,Lovin’ You,1975
13,Carl Douglas,14,Kung Fu Fighting,1975
14,Doobie Brothers,15,Black Water,1975
15,Sweet,16,Ballroom Blitz,1975
16,B.J. Thomas,17,(Hey Wont You Play) Another Somebody Done Somebody Wrong Song,1975
17,Tony Orlando and Dawn,18,He Don’t Love You (Like I Love You),1975
18,Janis Ian,19,At Seventeen,1975
19,Average White Band,20,Pick Up The Pieces,1975
20,Van McCoy and The Soul City Symphony,21,The Hustle,1975
21,Labelle,22,Lady Marmalade,1975
22,War,23,Why Can’t We Be Friends?,1975
23,Major Harris,24,Love Wont Let Me Wait,1975
24,Stevie Wonder,25,Boogie On Reggae Woman,1975
25,Freddy Fender,26,Wasted Days And Wasted Nights,1975
26,Isley Brothers,27,"Fight The Power, Pt. 1",1975
27,Helen Reddy,28,Angie Baby,1975
28,Ozark Mountain Daredevil,29,Jackie Blue,1975
29,Ohio Players,30,Fire,1975
30,Pilot,31,Magic,1975
31,Carpenters,32,Please Mr. Postman,1975
32,America,33,Sister Golden Hair,1975
33,Elton John,34,Lucy In The Sky With Diamonds,1975
34,Barry Manilow,35,Mandy,1975
35,Olivia Newton-John,36,Have You Never Been Mellow,1975
36,Barry Manilow,37,Could It Be Magic,1975
37,Harry Chapin,38,Cat’s In The Cradle,1975
38,Michael Murphy,39,Wildfire,1975
39,Jessi Colter,40,I’m Not Lisa,1975
40,Wings,41,Listen To What The Man Said,1975
41,10cc,42,I’m Not In Love,1975
42,Billy Swan,43,I Can Help,1975
43,"Hamilton, Joe Frank and Reynolds",44,Fallin’ In Love,1975
44,Morris Albert,45,Feelings,1975
45,Sammy Johns,46,Chevy Van,1975
46,Linda Ronstadt,47,When Will I Be Loved,1975
47,Barry White,48,"You’re The First, The Last, My Everthing",1975
48,Olivia Newton-John,49,Please Mr Please,1975
49,Linda Ronstadt,50,You’re No Good,1975
50,Bazuka,51,Dynomite,1975
51,Blackbyrds,52,Walking In Rhythm,1975
52,Gladys Knight and The Pips,53,The Way We Were / Try To Remember,1975
53,Melissa Manchester,54,Midnight Blue,1975
54,Sugarloaf,55,"Don’t Call Us, We’ll Call You",1975
55,Phoebe Snow,56,Poetry Man,1975
56,Ace,57,How Long,1975
57,B.T. Express,58,Express,1975
58,"Earth, Wind and Fire",59,That’s The Way Of The World,1975
59,Styx,60,Lady,1975
60,Grand Funk,61,Bad Time,1975
61,Alice Cooper,62,Only Women Bleed,1975
62,Carol Douglas,63,Doctor’s Orders,1975
63,K.C. and The Sunshine Band,64,Get Down Tonight,1975
64,Joe Cocker,65,You Are So Beautiful / It’s A Sin When You Love Somebody,1975
65,Paul Anka and Odia Coates,66,One Man Woman-One Woman Man,1975
66,Bad Company,67,Feel Like Makin’ Love,1975
67,James Taylor,68,How Sweet It Is,1975
68,Orleans,69,Dance With Me,1975
69,Average White Band,70,Cut The Cake,1975
70,Gloria Gaynor,71,Never Can Say Goodbye,1975
71,Paul Anka,72,I Don’t Like To Sleep Alone,1975
72,Donny and Marie Osmond,73,Morning Side Of The Mountain,1975
73,Grand Funk,74,Some Kind Of Wonderful,1975
74,Three Degrees,75,When Will I See You Again,1975
75,Joe Simon,76,"Get Down, Get Down (Get On The Floor)",1975
76,John Denver,77,I’m Sorry / Calypso,1975
77,Queen,78,Killer Queen,1975
78,Eddie Kendricks,79,Shoeshine Boy,1975
79,B.T. Express,80,Do It (Til You’re Satisfied),1975
80,Electric Light Orchestra,81,Can’t Get It Out Of My Head,1975
81,Al Green,82,Sha-La-La (Make Me Happy),1975
82,America,83,Lonely People,1975
83,Rufus,84,You Got The Love,1975
84,Mike Post,85,The Rockford Files,1975
85,Tavares,86,It Only Takes A Minute,1975
86,Ringo Starr,87,No No Song / Snookeroo,1975
87,Paul McCartney and Wings,88,Junior’s Farm / Sally G,1975
88,Jethro Tull,89,Bungle In The Jungle,1975
89,Leo Sayer,90,Long Tall Glasses (I Can Dance),1975
90,Elton John,91,Someone Saved My Life Tonight,1975
91,Ray Stevens,92,Misty,1975
92,Neil Sedaka,93,Bad Blood,1975
93,Carpenters,94,Only Yesterday,1975
94,Dwight Twilley Band,95,I’m On Fire,1975
95,Ringo Starr,96,Only You,1975
96,Amazing Rhythm Aces,97,Third Rate Romance,1975
97,Bachman-Turner Overdrive,98,You Aint Seen Nothin’ Yet / Free Wheelin’,1975
98,Frankie Valli,99,Swearin’ To God,1975
99,Disco Tex and The Sex-O-lettes,100,Get Dancin’,1975
0,Wings,1,Silly Love Songs,1976
1,Elton John and Kiki Dee,2,Don’t Go Breaking My Heart,1976
2,Johnnie Taylor,3,Disco Lady,1976
3,Four Seasons,4,"December, 1963 (Oh, What A Night)",1976
4,Wild Cherry,5,Play That Funky Music,1976
5,Manhattans,6,Kiss And Say Goodbye,1976
6,The Miracles,7,Love Machine (Part 1),1976
7,Paul Simon,8,50 Ways To Leave Your Lover,1976
8,Gary Wright,9,Love Is Alive,1976
9,Walter Murphy and The Big Apple Band,10,A Fifth Of Beethoven,1976
10,Daryl Hall and John Oates,11,Sara Smile,1976
11,Starland Vocal Band,12,Afternoon Delight,1976
12,Barry Manilow,13,I Write The Songs,1976
13,Silver Convention,14,"Fly, Robin, Fly",1976
14,Diana Ross,15,Love Hangover,1976
15,Seals and Crofts,16,Get Closer,1976
16,Andrea True Connection,17,"More, More, More",1976
17,Queen,18,Bohemian Rhapsody,1976
18,Dorothy Moore,19,Misty Blue,1976
19,Sylvers,20,Boogie Fever,1976
20,England Dan and John Ford Coley,21,I’d Really Love To See You Tonight,1976
21,Hot Chocolate,22,You Sexy Thing,1976
22,Nazareth,23,Love Hurts,1976
23,Silver Convention,24,Get Up And Boogie,1976
24,Eagles,25,Take It To The Limit,1976
25,K.C. and The Sunshine Band,26,"(Shake, Shake, Shake) Shake Your Booty",1976
26,Commodores,27,Sweet Love,1976
27,Maxine Nightingale,28,Right Back Where We Started From,1976
28,Rhythm Heritage,29,Theme From “S.W.A.T”,1976
29,Ohio Players,30,Love Rollercoaster,1976
30,Bee Gees,31,You Should Be Dancing,1976
31,Lou Rawls,32,You’ll Never Find Another Love Like Mine,1976
32,David Bowie,33,Golden Years,1976
33,Starbuck,34,Moonlight Feels Right,1976
34,Dr. Hook,35,Only Sixteen,1976
35,Bellamy Brothers,36,Let Your Love Flow,1976
36,Gary Wright,37,Dream Weaver,1976
37,Vicki Sue Robinson,38,Turn The Beat Around,1976
38,Captain and Tennille,39,Lonely Night (Angel Face),1976
39,Eric Carmen,40,All By Myself,1976
40,Donna Summer,41,Love To Love You Baby,1976
41,Donny and Marie Osmond,42,Deep Purple,1976
42,Diana Ross,43,Theme From “Mahogany”,1976
43,Rufus,44,Sweet Thing,1976
44,K.C. and The Sunshine Band,45,That’s The Way I Like It,1976
45,Dr. Hook,46,A Little Bit More,1976
46,Henry Gross,47,Shannon,1976
47,Chicago,48,If You Leave Me Now,1976
48,Boz Scaggs,49,Lowdown,1976
49,Peter Frampton,50,Show Me The Way,1976
50,Aerosmith,51,Dream On,1976
51,O’Jays,52,I Love Music (Pt. 1),1976
52,Fleetwood Mac,53,Say You Love Me,1976
53,Paul Anka,54,Times Of Your Life,1976
54,Cliff Richard,55,Devil Woman,1976
55,Elvin Bishop,56,Fooled Around And Fell In Love,1976
56,C.W. McCall,57,Convoy,1976
57,John Sebastian,58,Welcome Back,1976
58,"Earth, Wind and Fire",59,Sing A Song,1976
59,Tavares,60,Heaven Must Be Missing An Angel,1976
60,Brothers Johnson,61,I’ll Be Good To You,1976
61,Captain and Tennille,62,Shop Around,1976
62,Bay City Rollers,63,Saturday Night,1976
63,Elton John,64,Island Girl,1976
64,Staple Singers,65,Let’s Do It Again,1976
65,Wings,66,Let ‘Em In,1976
66,Wing and A Prayer Fife and Drum Corps,67,Baby Face,1976
67,George Benson,68,This Masquerade,1976
68,Electric Light Orchestra,69,Evil Woman,1976
69,Silver,70,Wham Bam,1976
70,Keith Carradine,71,I’m Easy,1976
71,Harold Melvin and The Bluenotes,72,Wake Up Everybody (Pt. 1),1976
72,War,73,Summer,1976
73,John Travolta,74,Let Her In,1976
74,Sweet,75,Fox On The Run,1976
75,Fleetwood Mac,76,Rhiannon (Will You Ever Win),1976
76,Beatles,77,Got To Get You Into My Life,1976
77,Bee Gees,78,Fanny (Be Tender With My Love),1976
78,"Earth, Wind and Fire",79,Getaway,1976
79,Daryl Hall and John Oates,80,She’s Gone,1976
80,Beach Boys,81,Rock And Roll Music,1976
81,Orleans,82,Still The One,1976
82,Queen,83,You’re My Best Friend,1976
83,Jefferson Starship,84,With Your Love,1976
84,Foghat,85,Slow Ride,1976
85,Ohio Players,86,Who’d She Coo,1976
86,David Ruffin,87,Walk Away From Love,1976
87,Peter Frampton,88,"Baby, I Love Your Way",1976
88,Candi Staton,89,Young Hearts Run Free,1976
89,Neil Sedaka,90,Breaking Up’s Hard To Do,1976
90,Bay City Rollers,91,Money Honey,1976
91,Parliament,92,Tear The Roof Off The Sucker,1976
92,Larry Groce,93,Junk Food Junkie,1976
93,Barry Manilow,94,Tryin’ To Get The Feeling Again,1976
94,Kiss,95,Rock And Roll All Nite,1976
95,Rick Dees,96,Disco Duck,1976
96,Thin Lizzy,97,The Boys Are Back In Town,1976
97,Steve Miller Band,98,Take The Money And Run,1976
98,Who,99,Squeeze Box,1976
99,Glen Campbell,100,Country Boy (You Got Your Feet In L.A.),1976
0,Rod Stewart,1,Tonight’s The Night (Gonna Be Alright),1977
1,Andy Gibb,2,I Just Want To Be Your Everything,1977
2,Emotions,3,Best Of My Love,1977
